Координаты: (57.5, 136.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (152.0, 134.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (203.5, 135.5); Яркость: 6109; Размер: 25; Тип: звезда
Координаты: (199.0, 106.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (46.5, 102.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (140.5, 72.5); Яркость: 6005; Размер: 25; Тип: звезда
Координаты: (39.0, 64.0); Яркость: 4049; Размер: 16; Тип: планета
Координаты: (224.0, 14.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (19.5, 9.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (131.5, 156.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (207.5, 137.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (115.5, 137.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (22.0, 128.5); Яркость: 9698; Размер: 42; Тип: звезда
Координаты: (88.5, 121.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (17.0, 83.0); Яркость: 8212; Размер: 36; Тип: звезда
Координаты: (198.5, 53.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (19.5, 49.0); Яркость: 3029; Размер: 12; Тип: планета
Координаты: (3.5, 39.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (240.0, 36.0); Яркость: 1990; Размер: 8; Тип: планета
Координаты: (8.5, 19.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (123.5, 2.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (0.5, 138.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (35.0, 126.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (17.5, 123.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (44.5, 116.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (230.5, 101.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (35.5, 102.0); Яркость: 2843; Размер: 12; Тип: планета
Координаты: (120.0, 36.0); Яркость: 3945; Размер: 16; Тип: планета
Координаты: (44.0, 30.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (95.5, 23.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (48.0, 24.0); Яркость: 4012; Размер: 16; Тип: планета
Координаты: (217.5, 190.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (66.5, 158.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (11.0, 155.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (45.5, 140.5); Яркость: 2291; Размер: 9; Тип: планета
Координаты: (40.5, 31.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (100.5, 21.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (129.0, 13.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (114.5, 7.5); Яркость: 255; Размер: 1; Тип: планета
